channels,pos_pixels,neg_pixels
0,4864,4352
1,4495,4721
2,4700,4516
3,3403,5813
4,3502,5714
5,4600,4616
6,2928,6288
7,4011,5205
8,3172,6044
9,4658,4558
10,4215,5001
11,4386,4830
12,4716,4500
13,2763,6453
14,3631,5585
15,3724,5492
16,4568,4648
17,4499,4717
18,4384,4832
19,3822,5394
20,4325,4891
21,3894,5322
22,3640,5576
23,4512,4704
24,3185,6031
25,4527,4689
26,3135,6081
27,3848,5368
28,3766,5450
29,2870,6346
30,3336,5880
31,3892,5324
32,4050,5166
33,4002,5214
34,3625,5591
35,4381,4835
36,3927,5289
37,4385,4831
38,3232,5984
39,4164,5052
40,3690,5526
41,4108,5108
42,3926,5290
43,4132,5084
44,4110,5106
45,3652,5564
46,3926,5290
47,4394,4822
48,3553,5663
49,2798,6418
50,3346,5870
51,3982,5234
52,4773,4443
53,3755,5461
54,4265,4951
55,3700,5516
56,4209,5007
57,3074,6142
58,4108,5108
59,4309,4907
60,3805,5411
61,4271,4945
62,3453,5763
63,3264,5952
64,3760,5456
65,2675,6541
66,4097,5119
67,3873,5343
68,3993,5223
69,3754,5462
70,5149,4067
71,4262,4954
72,3965,5251
73,4527,4689
74,4579,4637
75,4100,5116
76,4263,4953
77,4356,4860
78,4304,4912
79,4950,4266
80,3347,5869
81,4406,4810
82,3943,5273
83,4154,5062
84,3920,5296
85,4265,4951
86,4422,4794
87,4580,4636
88,3510,5706
89,4605,4611
90,3920,5296
91,3576,5640
92,3719,5497
93,2788,6428
94,3753,5463
95,4309,4907
96,4155,5061
97,4190,5026
98,3134,6082
99,4589,4627
100,3912,5304
101,4598,4618
102,4762,4454
103,3324,5892
104,3548,5668
105,4782,4434
106,3802,5414
107,4405,4811
108,3399,5817
109,4570,4646
110,3748,5468
111,3850,5366
112,4293,4923
113,2780,6436
114,3859,5357
115,4741,4475
116,4693,4523
117,4047,5169
118,4390,4826
119,3182,6034
120,3660,5556
121,3728,5488
122,4461,4755
123,4346,4870
124,3738,5478
125,3957,5259
126,3918,5298
127,4381,4835
128,3949,5267
129,3612,5604
130,4371,4845
131,3708,5508
132,4536,4680
133,3444,5772
134,4140,5076
135,4423,4793
136,3208,6008
137,3262,5954
138,3909,5307
139,5088,4128
140,5120,4096
141,3326,5890
142,3781,5435
143,3423,5793
144,5212,4004
145,4836,4380
146,4903,4313
147,4300,4916
148,3389,5827
149,4644,4572
150,3960,5256
151,3451,5765
152,3574,5642
153,3759,5457
154,4043,5173
155,3629,5587
156,3977,5239
157,4075,5141
158,3713,5503
159,4058,5158
160,4372,4844
161,3198,6018
162,4049,5167
163,4970,4246
164,3464,5752
165,4166,5050
166,4125,5091
167,3054,6162
168,4379,4837
169,3666,5550
170,3790,5426
171,3630,5586
172,4342,4874
173,3658,5558
174,4697,4519
175,3997,5219
176,4385,4831
177,4334,4882
178,4236,4980
179,4831,4385
180,4260,4956
181,3683,5533
182,3397,5819
183,4376,4840
184,4616,4600
185,4297,4919
186,4173,5043
187,3691,5525
188,4878,4338
189,4049,5167
190,4388,4828
191,4863,4353
192,3435,5781
193,4860,4356
194,2942,6274
195,4244,4972
196,3510,5706
197,3125,6091
198,3892,5324
199,4164,5052
200,3227,5989
201,4467,4749
202,4742,4474
203,3496,5720
204,3904,5312
205,4551,4665
206,4778,4438
207,3319,5897
208,4070,5146
209,4370,4846
210,4361,4855
211,4549,4667
212,4255,4961
213,3792,5424
214,3750,5466
215,4597,4619
216,4177,5039
217,3729,5487
218,4053,5163
219,3982,5234
220,3996,5220
221,4721,4495
222,3982,5234
223,4193,5023
224,4062,5154
225,3620,5596
226,4284,4932
227,4602,4614
228,3791,5425
229,4735,4481
230,4425,4791
231,4541,4675
232,4447,4769
233,4616,4600
234,3732,5484
235,4088,5128
236,3828,5388
237,3955,5261
238,3962,5254
239,3537,5679
240,3773,5443
241,4324,4892
242,3275,5941
243,2740,6476
244,4183,5033
245,3694,5522
246,4427,4789
247,4159,5057
248,3768,5448
249,4191,5025
250,3042,6174
251,4906,4310
252,3056,6160
253,4443,4773
254,2789,6427
255,4030,5186
